hospital_name,city,state,star_rating,drg_description,hospital_price,national_avg_price,total_savings
"NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL",WINFIELD,IL,5,"ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC",38597.508197,42781.35,4183.84
"VIERA HOSPITAL",MELBOURNE,FL,5,"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC",10346.866667,14529.93,4183.06
"MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL","EAU CLAIRE",WI,5,"DIGESTIVE MALIGNANCY WITH MCC",16650.263158,20832.69,4182.43
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC",14230.846154,18411.4,4180.55
"MOUNTAIN VIEW HOSPITAL",PAYSON,UT,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13055.72,17235.46,4179.74
"HOUSTON METHODIST THE WOODLANDS HOSPITAL","THE WOODLANDS",TX,5,"PERIPHERAL VASCULAR DISORDERS WITH MCC",10700.666667,14878.7,4178.03
"MEDINA HOSPITAL",MEDINA,OH,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",11810.305085,15986.29,4175.98
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",AURORA,CO,5,"ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC",24221.115385,28396.85,4175.74
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC",14262.75,18436.28,4173.53
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"SEIZURES WITH MCC",14403.8,18574.85,4171.05
"SENTARA MARTHA JEFFERSON HOSPITAL",CHARLOTTESVILLE,VA,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC",9932.7659574,14102.78,4170.02
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13068.035857,17235.46,4167.42
"ASCENSION ST JOHN BROKEN ARROW","BROKEN ARROW",OK,5,"HEART FAILURE AND SHOCK WITH MCC",7385.4074074,11548.46,4163.06
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"TRANSURETHRAL PROCEDURES WITH CC",11654.6,15815.48,4160.88
"MCKAY-DEE HOSPITAL",OGDEN,UT,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",28721.114286,32880.84,4159.72
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY",10690.1,14848.47,4158.37
"BELLIN MEMORIAL HOSPITAL","GREEN BAY",WI,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13078,17235.46,4157.46
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC",14604.25,18760.64,4156.39
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"RESPIRATORY NEOPLASMS WITH MCC",12397,16549.96,4152.96
"POUDRE VALLEY HOSPITAL","FORT COLLINS",CO,5,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",15406.916667,19556.31,4149.39
"CRYSTAL CLINIC ORTHOPAEDIC CENTER",AKRON,OH,5,"OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC",9236,13384.72,4148.72
"NORTHWESTERN LAKE FOREST HOSPITAL","LAKE FOREST",IL,5,"PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC",14422.058824,18569.71,4147.65
"VIERA HOSPITAL",MELBOURNE,FL,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",7626.2692308,11773.26,4146.99
"INOVA LOUDOUN HOSPITAL",LEESBURG,VA,5,"MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC",36708.263158,40853.72,4145.46
"REX HOSPITAL",RALEIGH,NC,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",28735.54717,32880.84,4145.29
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"PERIPHERAL VASCULAR DISORDERS WITH MCC",10735.105263,14878.7,4143.59
"INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL",PROVO,UT,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC",21064.458333,25207.74,4143.28
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"PULMONARY EDEMA AND RESPIRATORY FAILURE",7278.1153846,11421.02,4142.91
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"GASTROINTESTINAL HEMORRHAGE WITH MCC",11721.294118,15860.1,4138.81
"ORLANDO HEALTH ROCKLEDGE HOSPITAL",ROCKLEDGE,FL,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13097.827586,17235.46,4137.63
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC",37406.153846,41535.68,4129.52
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC",12238.272727,16367.76,4129.49
"MERCY GILBERT MEDICAL CENTER",GILBERT,AZ,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC",13308.263158,17437.18,4128.91
"SAINT FRANCIS HOSPITAL SOUTH, LLC",TULSA,OK,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",10113.076923,14240.94,4127.86
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"RED BLOOD CELL DISORDERS WITH MCC",8988,13115.62,4127.62
"ST LUKES MAGIC VALLEY MEDICAL CENTER","TWIN FALLS",ID,5,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",14491.909091,18618.54,4126.63
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC",9981.4444444,14102.78,4121.34
"PELHAM MEDICAL CENTER",GREER,SC,5,"PULMONARY EDEMA AND RESPIRATORY FAILURE",7299.8235294,11421.02,4121.2
"NORTHWESTERN MEDICINE MCHENRY",MCHENRY,IL,5,"MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC",13415.428571,17534.53,4119.1
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,PSYCHOSES,9339.7,13456.93,4117.23
"BAPTIST HEALTH PADUCAH",PADUCAH,KY,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC",13898.136364,18015.32,4117.18
"AVERA HEART HOSPITAL OF SOUTH DAKOTA","SIOUX FALLS",SD,5,"CAROTID ARTERY STENT PROCEDURES WITH CC",15492.857143,19609.26,4116.4
"PAOLI HOSPITAL",PAOLI,PA,5,"COAGULATION DISORDERS",13103.368421,17217.02,4113.65
"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL",LEWISBURG,PA,5,"CELLULITIS WITH MCC",8784.2307692,12896.36,4112.13
"BAPTIST HEALTH PADUCAH",PADUCAH,KY,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",11875.804598,15986.29,4110.48
"ASCENSION  SETON HAYS",KYLE,TX,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O",23010,27120.45,4110.45
"BAPTIST MEDICAL CENTER - NASSAU","FERNANDINA BEACH",FL,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13125.213592,17235.46,4110.24
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY",10738.291667,14848.47,4110.18
"BAPTIST HEALTH PADUCAH",PADUCAH,KY,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC",9995.3529412,14102.78,4107.43
"CLEVELAND CLINIC",CLEVELAND,OH,5,"SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS",35968.583333,40075.32,4106.74
"WAKEMED, CARY HOSPITAL",CARY,NC,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",10134.25,14240.94,4106.69
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC",78459.058824,82564.4,4105.34
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC",32322.791667,36424.14,4101.35
"OKLAHOMA HEART HOSPITAL SOUTH, LLC","OKLAHOMA CITY",OK,5,"RENAL FAILURE WITH MCC",9121.0588235,13222.39,4101.33
"SAINT FRANCIS HOSPITAL SOUTH, LLC",TULSA,OK,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC",10004,14102.78,4098.78
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC",17452.411765,21550.53,4098.12
"ST ELIZABETH DEARBORN HOSPITAL",LAWRENCEBURG,IN,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC",13921.6,18015.32,4093.72
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"SOFT TISSUE PROCEDURES WITH CC",14138.230769,18230.63,4092.4
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC",11559.190476,15650.71,4091.52
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC",14478.444444,18569.71,4091.26
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS",20041.214286,24132.25,4091.04
"HOUSTON METHODIST CLEAR LAKE HOSPITAL","NASSAU BAY",TX,5,"INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC",14320.5,18411.4,4090.9
"NORTHWESTERN MEDICINE MCHENRY",MCHENRY,IL,5,"SEIZURES WITH MCC",14483.958333,18574.85,4090.89
"LONE PEAK HOSPITAL",DRAPER,UT,5,"HEART FAILURE AND SHOCK WITH MCC",7458.3125,11548.46,4090.15
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"HEART FAILURE AND SHOCK WITH MCC",7459.0752688,11548.46,4089.39
"NEWTON-WELLESLEY HOSPITAL",NEWTON,MA,5,"PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC",14484.913043,18569.71,4084.8
"HOUSTON METHODIST WILLOWBROOK HOSPITAL",HOUSTON,TX,5,"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC",15414.714286,19497.64,4082.92
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"NERVOUS SYSTEM NEOPLASMS WITH MCC",10761,14843.41,4082.41
LMH,LAWRENCE,KS,5,"MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC",17437.166667,21518.92,4081.75
"ST ELIZABETH DEARBORN HOSPITAL",LAWRENCEBURG,IN,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC",13675.916667,17757.56,4081.65
"MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL","EAU CLAIRE",WI,5,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",17445.75,21526.33,4080.58
"ADVENTHEALTH MURRAY",CHATSWORTH,GA,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13154.926829,17235.46,4080.53
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS",20052.166667,24132.25,4080.08
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC",8390.0416667,12469.26,4079.21
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",28803.055556,32880.84,4077.78
"HOUSTON METHODIST WILLOWBROOK HOSPITAL",HOUSTON,TX,5,"PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC",25607.428571,29683.49,4076.06
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC",13459.6,17534.53,4074.93
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"NERVOUS SYSTEM NEOPLASMS WITH MCC",10769.157895,14843.41,4074.25
"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL",LEWISBURG,PA,5,"RENAL FAILURE WITH MCC",9152.7777778,13222.39,4069.62
"KANSAS HEART HOSPITAL",WICHITA,KS,5,"HEART FAILURE AND SHOCK WITH MCC",7481.047619,11548.46,4067.42
"CHRIST HOSPITAL",CINCINNATI,OH,5,"OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC",27655.181818,31721.31,4066.13
"INOVA FAIR OAKS HOSPITAL",FAIRFAX,VA,5,"HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC",14370.153846,18436.28,4066.12
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"MAJOR CHEST TRAUMA WITH MCC",11668.923077,15732.8,4063.88
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13172.596154,17235.46,4062.86
"SCRIPPS MEMORIAL HOSPITAL LA JOLLA","LA JOLLA",CA,5,"INTERSTITIAL LUNG DISEASE WITH MCC",15074.181818,19136.61,4062.43
"MULTICARE VALLEY HOSPITAL","SPOKANE VALLEY",WA,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC",21045.181818,25105.81,4060.63
"NEWTON-WELLESLEY HOSPITAL",NEWTON,MA,5,"VIRAL ILLNESS WITH MCC",14786.181818,18845.63,4059.45
"ST FRANCIS HOSPITAL - THE HEART CENTER",ROSLYN,NY,5,"OTHER O.R. PROCEDURES FOR INJURIES WITH CC",17124.555556,21179.4,4054.85
"POUDRE VALLEY HOSPITAL","FORT COLLINS",CO,5,"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC",15443.25,19497.64,4054.39
"EAST COOPER MEDICAL CENTER","MOUNT PLEASANT",SC,5,"HEART FAILURE AND SHOCK WITH MCC",7494.9166667,11548.46,4053.55
"SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK",KS,5,"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC",10477.142857,14529.93,4052.79
"MERCYONE DUBUQUE MEDICAL CENTER",DUBUQUE,IA,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC",12694,16743.75,4049.75
"CLEVELAND CLINIC AVON HOSPITAL",AVON,OH,5,"PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE",8571.6428571,12618.26,4046.62
"CLEVELAND CLINIC",CLEVELAND,OH,5,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",37402.434783,41447.93,4045.49
"BELLEVUE MEDICAL CENTER",BELLEVUE,NE,5,"RENAL FAILURE WITH MCC",9184.4444444,13222.39,4037.95
"THEDACARE REGIONAL MED CTR - NEENAH",NEENAH,WI,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC",13723.8,17757.56,4033.76
"MEDINA HOSPITAL",MEDINA,OH,5,"CELLULITIS WITH MCC",8866.7894737,12896.36,4029.57
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"PERIPHERAL VASCULAR DISORDERS WITH MCC",10849.266667,14878.7,4029.43
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC",17489.602273,21518.92,4029.31
"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL",LEWISBURG,PA,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC",13986.444444,18015.32,4028.87
"SENTARA MARTHA JEFFERSON HOSPITAL",CHARLOTTESVILLE,VA,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC",10174.357143,14200.19,4025.83
"NS/LIJ HS HUNTINGTON HOSPITAL",HUNTINGTON,NY,5,"VIRAL ILLNESS WITH MCC",14820.058824,18845.63,4025.57
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC",13412.081081,17437.18,4025.1
"ST. PATRICK HOSPITAL",MISSOULA,MT,5,"POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC",13950.181818,17974.74,4024.56
"VIERA HOSPITAL",MELBOURNE,FL,5,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",8054.15,12078.21,4024.06
"SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK",KS,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",10217.407407,14240.94,4023.53
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC",14388.833333,18411.4,4022.56
"MCKAY-DEE HOSPITAL",OGDEN,UT,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC",21188.25,25207.74,4019.49
"VIERA HOSPITAL",MELBOURNE,FL,5,"HEART FAILURE AND SHOCK WITH MCC",7529.3423423,11548.46,4019.12
"BAPTIST HEALTH PADUCAH",PADUCAH,KY,5,"CERVICAL SPINAL FUSION WITH CC",23027.545455,27044.37,4016.83
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"DIGESTIVE MALIGNANCY WITH MCC",16816.5,20832.69,4016.19
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"MAJOR CHEST TRAUMA WITH CC",6886.7857143,10902.21,4015.43
"NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL",WINFIELD,IL,5,"CERVICAL SPINAL FUSION WITH CC",23029.181818,27044.37,4015.19
"Adventhealth Zephyrhills",ZEPHYRHILLS,FL,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC",10090.377778,14102.78,4012.4
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC",39283.454545,43294.66,4011.21
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"SEIZURES WITH MCC",14566.6875,18574.85,4008.16
"HOUSTON METHODIST HOSPITAL",HOUSTON,TX,5,"VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC",14330.652174,18336.93,4006.28
"INOVA LOUDOUN HOSPITAL",LEESBURG,VA,5,"DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC",8465.4444444,12469.26,4003.81
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC",12454.75,16457.75,4003
"Adventhealth Zephyrhills",ZEPHYRHILLS,FL,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13234.909953,17235.46,4000.55
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"ENDOCRINE DISORDERS WITH MCC",11665.133333,15662.43,3997.29
"NS/LIJ HS HUNTINGTON HOSPITAL",HUNTINGTON,NY,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",28885.3125,32880.84,3995.53
"INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL",PROVO,UT,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC",21112.615385,25105.81,3993.2
"MEDINA HOSPITAL",MEDINA,OH,5,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",8085.1764706,12078.21,3993.03
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"RENAL FAILURE WITH MCC",9232.4318182,13222.39,3989.96
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"GASTROINTESTINAL HEMORRHAGE WITH MCC",11873.2,15860.1,3986.9
"MEDINA HOSPITAL",MEDINA,OH,5,"RENAL FAILURE WITH MCC",9235.6,13222.39,3986.79
"ST. PATRICK HOSPITAL",MISSOULA,MT,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",28894.149254,32880.84,3986.69
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",10255.690476,14240.94,3985.25
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",14412.428571,18397.16,3984.73
"MERCYONE DUBUQUE MEDICAL CENTER",DUBUQUE,IA,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC",13187.028571,17170.33,3983.31
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC",10119.941176,14102.78,3982.84
"CLEVELAND CLINIC AVON HOSPITAL",AVON,OH,5,"RENAL FAILURE WITH MCC",9241.5757576,13222.39,3980.82
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC",13554.214286,17534.53,3980.31
"REX HOSPITAL",RALEIGH,NC,5,"OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC",14245.52381,18221.58,3976.06
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY",10873.12,14848.47,3975.35
"SAINT FRANCIS HOSPITAL SOUTH, LLC",TULSA,OK,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13261.077253,17235.46,3974.38
"TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL",ROCKWALL,TX,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC",14041.722222,18015.32,3973.6
"NORTHWESTERN LAKE FOREST HOSPITAL","LAKE FOREST",IL,5,"TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC",19502.916667,23476.33,3973.41
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC",12770.818182,16743.75,3972.93
"REX HOSPITAL",RALEIGH,NC,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC",13467.222222,17437.18,3969.95
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO",9466.4705882,13435.85,3969.38
"ADVOCATE SHERMAN HOSPITAL",ELGIN,IL,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC",21240.769231,25207.74,3966.97
"REX HOSPITAL",RALEIGH,NC,5,PSYCHOSES,9492.4,13456.93,3964.53
"MOUNT PLEASANT HOSPITAL","MOUNT PLEASANT",SC,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",12021.785714,15986.29,3964.5
"INOVA FAIR OAKS HOSPITAL",FAIRFAX,VA,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",28916.574074,32880.84,3964.26
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC",8505.7272727,12469.26,3963.53
"CHI HEALTH LAKESIDE",OMAHA,NE,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC",13795.782609,17757.56,3961.78
"WHITE PLAINS HOSPITAL CENTER","WHITE PLAINS",NY,5,"DIGESTIVE MALIGNANCY WITH MCC",16871.333333,20832.69,3961.36
"MCKAY-DEE HOSPITAL",OGDEN,UT,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC",21145.181818,25105.81,3960.63
"BAPTIST MEDICAL CENTER - NASSAU","FERNANDINA BEACH",FL,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC",13797.916667,17757.56,3959.65
"SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK",KS,5,"DIABETES WITH MCC",9099.7272727,13056.04,3956.32
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"DIGESTIVE MALIGNANCY WITH CC",8145.4666667,12101.72,3956.25
"REX HOSPITAL",RALEIGH,NC,5,"PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC",16034.108434,19989.4,3955.29
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"RENAL FAILURE WITH MCC",9267.6956522,13222.39,3954.7
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"MAJOR CHEST PROCEDURES WITH CC",19771.377778,23725.69,3954.32
"HOUSTON METHODIST WILLOWBROOK HOSPITAL",HOUSTON,TX,5,"MEDICAL BACK PROBLEMS WITH MCC",11580.166667,15531.61,3951.44
"BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE",WAXAHACHIE,TX,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC",13489,17437.18,3948.18
"BELLEVUE MEDICAL CENTER",BELLEVUE,NE,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC",13288.461538,17235.46,3947
